ce_1,ce_2
0.453125,3.2109375
0.21875,14.9140625
3.9375,9.9375
1.671875,13.078125
-0.28125,16.0859375
-0.1875,15.796875
-0.59375,16.3125
2.640625,11.375
-0.140625,15.59375
0.0625,15.546875
1.96875,12.5
0.453125,15.1328125
0.390625,14.7890625
0.546875,14.8515625
0.609375,14.5859375
1.03125,14.1015625
1.984375,12.78125
4.09375,9.46875
2.796875,11.6875
0.390625,14.7578125
2.203125,12.234375
1.8125,12.859375
0.09375,3.03125
3.265625,10.875
1.296875,13.515625
-0.28125,16.078125
0.734375,14.2734375
0.40625,14.8984375
-0.546875,16.25
0.359375,15.21875
4.0625,9.59375
0.21875,15.359375
1.59375,13.28125
1.71875,12.984375
1.03125,14.078125
0.328125,15.171875
0.359375,2.65625
-0.03125,15.8515625
-0.109375,15.875
-0.015625,15.53125
1.359375,13.734375
0.46875,14.828125
1.25,13.5
-0.203125,4.330078125
2.859375,11.15625
0.0625,15.5703125
3.234375,10.65625
5.640625,7.0625
0.0,15.75
0.40625,14.7578125
1.234375,13.78125
0.0625,15.71875
2.40625,11.953125
3.375,10.4375
0.015625,15.7421875
3.609375,10.1875
0.734375,14.4296875
1.40625,13.25
1.890625,12.9375
0.421875,15.1875
0.421875,14.8984375
1.34375,13.359375
0.734375,14.3984375
0.6875,14.6015625
0.09375,15.5
0.671875,14.6796875
0.171875,15.2890625
1.609375,13.1875
1.390625,13.421875
0.234375,15.3046875
0.03125,15.6796875
1.03125,14.1875
0.78125,14.4296875
0.21875,15.3515625
0.625,14.5546875
-0.3125,15.6875
4.8125,8.125
-0.171875,15.9765625
0.96875,14.1953125
2.75,11.65625
1.59375,13.09375
5.609375,7.25
-0.40625,16.2734375
0.375,14.9453125
1.671875,13.125
-0.390625,16.296875
6.984375,4.9375
-0.0625,15.609375
0.140625,15.578125
-0.203125,15.84375
0.625,14.4296875
-0.328125,16.296875
1.65625,13.140625
0.546875,14.8046875
1.265625,13.5
0.15625,15.3828125
2.796875,11.34375
0.21875,15.0703125
-0.609375,16.390625
0.59375,14.9296875
-0.34375,16.203125
1.515625,13.09375
1.59375,13.234375
-0.109375,15.8515625
0.703125,14.6015625
3.625,10.03125
0.140625,15.3203125
0.8125,14.3046875
1.78125,12.90625
0.828125,14.203125
0.3125,14.90625
0.921875,14.3828125
-0.21875,15.84375
2.09375,12.46875
0.359375,15.1171875
-0.171875,15.765625
2.484375,11.921875
1.203125,13.6875
0.828125,14.109375
0.078125,15.609375
3.6875,10.0625
0.125,15.3203125
0.375,15.02734375
1.515625,13.1875
0.53125,13.984375
-0.28125,15.8125
3.0,11.0
2.71875,11.5625
1.046875,2.1875
0.640625,14.4296875
-0.46875,16.25
0.15625,15.3046875
0.28125,15.125
0.078125,15.5078125
1.859375,12.515625
0.4375,14.8671875
-0.125,15.7109375
-0.125,16.046875
0.296875,14.9296875
0.953125,14.3203125
1.296875,13.578125
-0.125,15.9921875
2.515625,11.71875
1.875,12.6875
2.046875,12.671875
5.796875,6.8125
1.09375,14.1796875
-0.546875,16.359375
1.6875,13.15625
0.6875,1.90625
0.640625,14.65625
0.1875,15.2265625
0.359375,14.8046875
1.453125,13.453125
0.734375,14.5703125
0.15625,15.3125
0.515625,14.921875
0.984375,13.890625
0.859375,14.21875
2.65625,11.5625
0.0625,15.6015625
1.15625,13.65625
1.1875,13.859375
1.984375,12.625
-0.015625,15.734375
1.265625,13.546875
-0.34375,15.8984375
0.6875,14.6171875
1.484375,13.4375
3.640625,10.15625
-0.359375,4.07568359375
0.453125,14.8125
-0.28125,16.1875
1.46875,13.328125
0.1875,15.2109375
0.40625,14.59375
1.875,12.8125
0.390625,15.2109375
4.484375,8.84375
0.453125,14.828125
-0.21875,16.203125
1.015625,13.921875
0.25,15.34375
2.046875,12.40625
3.265625,10.09375
0.09375,15.5390625
0.96875,14.171875
-0.84375,16.34375
2.859375,11.21875
0.171875,2.171875
0.171875,15.375
1.8125,12.59375
2.078125,12.53125
1.984375,12.453125
8.625,2.5
0.25,15.4296875
2.75,11.78125
0.203125,15.3671875
0.140625,15.3046875
3.171875,11.03125
0.359375,15.0703125
0.234375,14.9921875
2.890625,10.875
0.609375,14.5859375
2.390625,11.75
1.890625,12.8125
-0.375,16.5078125
-0.40625,16.3203125
1.5625,13.5703125
4.640625,8.3125
-0.03125,15.4609375
2.375,12.046875
0.3125,15.015625
1.25,13.9375
0.1875,15.390625
0.3125,2.8125
-0.25,16.0078125
0.046875,15.546875
1.5625,13.15625
0.296875,15.171875
1.59375,12.90625
0.875,14.3203125
-0.078125,15.828125
1.359375,13.453125
2.65625,11.59375
3.125,11.03125
2.0625,12.40625
0.53125,14.8671875
1.84375,12.515625
-0.4375,16.5
-0.0625,15.5859375
4.125,9.59375
1.59375,13.40625
1.171875,13.734375
-0.015625,15.71875
0.296875,15.1875
0.5,15.171875
1.65625,13.28125
0.265625,15.1328125
2.1875,12.015625
0.9375,14.2734375
0.484375,14.8203125
5.15625,7.0
1.53125,13.375
6.09375,6.3125
0.8125,14.125
-0.03125,15.734375
0.375,14.9765625
4.0625,9.34375
0.46875,15.125
0.328125,15.0390625
1.328125,13.71875
-0.125,15.5546875
0.3125,15.2734375
0.203125,15.2109375
-0.203125,16.09375
0.984375,14.0
2.375,11.984375
0.296875,15.171875
0.296875,15.2109375
0.640625,14.953125
4.859375,8.3125
0.65625,14.671875
